,angle,velocity,netDistanceFromBucket,outcome
0,299,16,80.88507960636598,0
1,72,29,63.13024010760359,0
2,275,3,136.77289644653823,0
3,150,6,154.26542050137522,0
4,189,39,95.6871922966368,0
5,175,39,88.52446283880565,0
6,29,7,102.29747725297888,0
7,295,32,43.93497547738959,0
8,356,9,79.65953570567295,0
9,45,0,130.47909687968848,0
10,315,24,88.01200289472489,0
11,162,31,85.37999557164926,0
12,51,40,139.08703723477,0
13,128,14,125.31834870413697,0
14,219,47,55.47452651919585,1
15,265,46,172.32819418980213,0
16,202,20,72.38330303762521,0
17,133,48,87.47404192304519,0
18,54,4,128.88344993063063,0
19,39,30,52.44479011110596,0
20,116,1,130.9727386741764,0
21,250,40,75.27396957658067,0
22,266,44,164.2393151401114,0
23,65,14,105.2178472486114,0
24,76,12,123.95435500260956,0
25,56,44,77.61155536014009,0
26,206,44,78.3782855092863,0
27,96,36,148.72025472363512,0
28,301,38,115.89002962626104,0
29,208,19,57.721894762644816,0
30,130,39,66.23716637292242,0
31,257,8,137.84705770536468,0
32,44,27,70.11678408799351,0
33,335,25,81.9362237896601,0
34,169,38,88.91812882393587,0
35,145,7,152.9979493029965,0
36,57,45,91.03364825800836,0
37,0,47,80.08129349247318,0
38,68,22,74.27441974250917,0
39,232,9,153.4506198967796,0
40,274,22,125.24909373870337,0
41,344,33,75.30068847227577,0
42,18,43,73.00900617811247,0
43,158,26,79.8171635318219,0
44,150,22,79.14439022344396,0
45,78,19,124.45668061453011,0
46,263,33,140.43060503510094,0
47,160,15,59.41165601859301,0
48,88,17,125.82320767956764,0
49,348,31,81.35744362188592,0
50,220,15,86.72789273402638,0
51,274,5,131.91802226688094,0
52,122,47,96.19529119628083,0
53,358,9,74.49082062479057,0
54,14,21,106.39823515610571,0
55,20,37,78.00060186504479,0
56,335,3,123.31343986552788,0
57,341,5,118.64932045239374,0
58,357,49,79.84922915992298,0
59,133,43,112.82849741928364,0
60,20,12,63.08061263401833,0
61,244,44,33.87377933142849,1
62,213,24,127.48923333810868,0
63,155,23,135.35475077284897,0
64,302,33,14.89299207076831,1
65,290,48,117.3287569489492,0
66,105,35,139.14889407552775,0
67,79,19,130.14324011917557,0
68,58,38,124.0658057653194,0
69,211,42,88.18833132326472,0
70,20,44,79.2112122978451,0
71,230,8,170.67805310622688,0
72,165,10,129.41239515226945,0
73,42,11,88.7023010640805,0
74,134,37,14.0345773175931,1
75,103,31,158.3927606949847,0
76,335,25,92.31377560997336,0
77,302,30,12.082556009013924,1
78,168,6,176.07063058177744,0
79,248,3,153.7454221371522,0
80,217,30,17.91637524108323,1
81,194,0,149.0354647188184,0
82,273,18,143.1642225542811,0
83,155,47,85.51668966537717,0
84,319,39,91.12267756072508,0
